no;model;tahun; harga ;transmisi;jarak_tempuh;bahan_bakar; pajak ;mpg;ukuran_mesin; harga_awal ;selisih tahun
59;Daihatsu Terios TX ADVENTURE;2015;Rp135.000.000,00;Manual;120000;Petrol/Gasoline/Bensin;Rp2.320.000,00;22;1,5;Rp155.000.000,00;8
60;Honda Brio E;2023;Rp108.600.000,00;Manual;110000;Petrol/Gasoline/Bensin;Rp2.000.000,00;25;1,2;Rp135.000.000,00;0
61;Honda Brio E;2018;Rp120.000.000,00;Manual;10000;Petrol/Gasoline/Bensin;Rp2.000.000,00;25;1,2;Rp135.000.000,00;5
62;Toyota Calya E;2016;Rp128.000.000,00;Manual;112412;Petrol/Gasoline/Bensin;Rp2.000.000,00;22;1,2;Rp132.000.000,00;7
63;Honda Brio E;2014;Rp95.000.000,00;Manual;10000;Petrol/Gasoline/Bensin;Rp2.000.000,00;25;1,2;Rp135.000.000,00;9
64;Honda Brio Satya E;2018;Rp120.000.000,00;Automatic;28000;Petrol/Gasoline/Bensin;Rp2.000.000,00;25;1,2;Rp135.000.000,00;5
65;Toyota Kijang Innova;2007;Rp80.000.000,00;Manual;85000;Petrol/Gasoline/Bensin;Rp4.000.000,00;35;2,5;Rp295.000.000,00;16
66;Honda CRV Turbo Prestige;2013;Rp230.000.000,00;Automatic;117000;Petrol/Gasoline/Bensin;Rp3.200.000,00;22;1,5;Rp740.000.000,00;10
67;Toyota Avanza E;2014;Rp110.000.000,00;Manual;112000;Petrol/Gasoline/Bensin;Rp2.800.000,00;23;1,3;Rp116.500.000,00;9
68;Toyota Agya G;2018;Rp120.000.000,00;Manual;55600;Petrol/Gasoline/Bensin;Rp1.725.250,00;22;1,2;Rp120.000.000,00;5
69;Toyota Yaris E FL;2008;Rp73.000.000,00;Automatic;25000;Petrol/Gasoline/Bensin;Rp3.371.000,00;25;1,5;Rp250.000.000,00;15
70;Toyota Avanza G;2021;Rp207.150.000,00;Manual;45730;Petrol/Gasoline/Bensin;Rp2.800.000,00;23;1,3;Rp150.000.000,00;2
71;Daihatsu Ayla X;2018;Rp138.150.000,00;Manual;65000;Petrol/Gasoline/Bensin;Rp1.371.000,00;22;1;Rp110.000.000,00;5
72;Toyota Avanza G;2011;Rp101.500.000,00;Manual;184542;Petrol/Gasoline/Bensin;Rp2.800.000,00;23;1,3;Rp150.000.000,00;12
